SPECIAL-TEAS,INGREDIENTS,PRICE
Beach Bum,"Mandarin Aloe, Peach Tea, Pineapple Liftoff, Orange & Strawberry flavors",7.28
Captain America,"Cranberry Aloe, Raspberry Tea, Pomegranate Liftoff, Strawberry & Blue Blast flavors",7.28
Cotton Candy,"Mandarin Aloe, Raspberry Tea, Pomegranate Liftoff, Watermelon & Rainbow Candy flavors",7.28
Watermelon Splash,"Cranberry Aloe, Raspberry Tea, Pomegranate Liftoff, Watermelon & Raspberry Lemonade flavors",7.28
Cosmo & Wanda,"Cranberry Aloe, Lemon Tea, Pomegranate LIftoff, Tropical Punch & Green Apple flavors",7.28
Fruit Rollup,"Mandarin Aloe, Raspberry Tea, Orange Liftoff, Watermelon & Strawberry flavors",7.28
Sunset Crush,"Mango Aloe, Peach Tea, Tropical Liftoff, Orange & Peach flavors",7.28
Hulk,"Mango Aloe, Lemon Tea, Lemon Liftoff, Green Apple & Grape flavors",7.28
Tropic like it's hot,"Mango Aloe, Peach Tea, Tropical Liftoff, Passion Fruit & Tropical Punch flavors",7.28
MangoRita,"Mango Aloe, Peach Tea, Lemon Liftoff, Margarita & Mango flavors",7.28
Miami Vice,"Mango Aloe, Raspberry Tea, Pineapple Liftoff, Coconut & Strawberry Flavors",7.28
Passion Fruit,"Mango Aloe, Raspberry Tea, Pineapple Liftoff, Passion Fruit & Peach flavors",7.28
Peach Please!,"Mango Aloe, Peach Tea, Orange Liftoff, Peach & Orange flavors",7.28
Razzmatazz,"Cranberry Aloe, Raspberry Tea, Lemon Liftoff, Lemon & Raspberry Lemonade flavors",7.28
Sex on the beach,"Cranberry Aloe, Raspberry Tea, Orange Liftoff, Orange & Tropical Punch flavors",7.28
Grape-a-liscious,"Mandarin Aloe, Raspberry Tea, Pomegranate Liftoff, Grape & Strawberry flavors",7.28
Smurfs Up,"Mango Aloe, Lemon Tea, Lemon Liftoff, Blue Blast & Blue Raspberry flavors",7.28
Cucumberita,"Cranberry Aloe, Raspberry Tea, Pomegranate Liftoff, Rainbow Candy & Cucumber Lime flavors",7.28
Dragon Slayer,"Mandarin Aloe, Original Tea, Blackberry Liftoff, Dragonfruit & Strawberry Kiwi flavors",7.28
CocoMelon,"Mango Aloe, Raspberry Tea, Tropical Liftoff, Coconut & Watermelon flavors",7.28
